profile_ID,DOB,Contact_type,Gender,Pack_ID,Start_Date,Status,Upgradable,Validity_End,Country,State,avg_dur,num_devs,freq_used_dev,Subscription Type,Billing Type,Customer Longevity
rsanchez,6/10/2005,Email,Female,432281,10/28/2021,INACTIVE,YES,12/5/2022,India,Goa,1512.2777777777778,18,Android Phone,12,Paytm,4
karina10,1/12/2005,Email,Female,432300,2/10/2021,INACTIVE,NO,11/22/2022,India,Goa,1329.5,8,iPad,3,NetBanking,2
sethconrad,10/30/1992,Email,Male,432410,10/30/2022,ACTIVE,YES,11/10/2022,India,Goa,1478.1666666666667,18,PC/Laptop,6,NetBanking,3
ewilson,8/14/2015,Email,Female,432496,1/14/2022,ACTIVE,NO,12/27/2022,India,Goa,1118.1333333333334,15,PC/Laptop,12,Paytm,4
evanvelasquez,5/25/1992,Email,Female,432553,1/21/2022,INACTIVE,YES,11/9/2022,India,Goa,1557.4285714285713,21,FireTV,12,Paytm,4
juliagilmore,4/27/1993,Email,Female,432667,4/15/2022,INACTIVE,YES,11/15/2022,India,Goa,1982.3333333333333,18,FireTV,12,Paytm,4
wayne58,12/12/2021,Email,Female,432675,11/3/2021,ACTIVE,YES,11/26/2022,India,Goa,1406.8235294117646,17,Android Phone,12,Paytm,4
nlee,5/18/1993,Email,Female,432696,7/12/2022,INACTIVE,YES,12/22/2022,India,Goa,983.78125,32,PC/Laptop,3,NetBanking,2
vbrennan,6/23/2002,Email,Female,432732,8/17/2022,ACTIVE,YES,11/8/2022,India,Goa,1239.4705882352941,17,Android Phone,12,Paytm,4
catherineryan,12/25/2021,Email,Female,432987,3/7/2021,INACTIVE,NO,12/25/2022,India,Goa,1438.65,20,Android Phone,3,NetBanking,2
andrewgentry,1/19/1989,Email,Male,433027,3/1/2022,INACTIVE,NO,12/25/2022,India,Goa,1162.44,25,FireTV,1,Paytm,1
xbrooks,12/16/2021,Email,Male,433035,5/8/2021,ACTIVE,NO,12/11/2022,India,Goa,1178.2777777777778,18,Android Phone,12,Paytm,4
smay,1/30/1999,Email,Female,432377,2/7/2021,INACTIVE,NO,11/30/2022,India,Assam,1070.9166666666667,12,PC/Laptop,1,Paytm,1
gregorycassandra,5/30/1992,Email,Male,432597,11/5/2022,ACTIVE,NO,11/13/2022,India,Assam,1596.2068965517242,29,FireTV,12,Paytm,4
robin12,10/25/1992,Email,Female,432806,12/10/2021,ACTIVE,NO,12/12/2022,India,Assam,607.9,20,PC/Laptop,12,Paytm,4
brandisanders,2/3/1998,Email,Male,432843,5/16/2022,ACTIVE,YES,11/18/2022,India,Assam,693.5,8,FireTV,3,NetBanking,2
brownjoseph,6/4/1992,Email,Female,432852,7/16/2022,INACTIVE,YES,11/13/2022,India,Assam,1324.2727272727273,22,Android TV,12,Paytm,4
karensmith,8/24/1992,Email,Genderfluid,432911,9/13/2022,ACTIVE,YES,11/10/2022,India,Assam,1485.5714285714287,14,PC/Laptop,6,NetBanking,3
laurieclark,10/19/2006,Email,Female,432924,10/2/2022,ACTIVE,YES,11/27/2022,India,Assam,1921.608695652174,23,FireTV,3,NetBanking,2
webbkaren,7/3/2006,Email,Bigender,432942,1/6/2021,ACTIVE,YES,12/27/2022,India,Assam,727.4615384615385,13,PC/Laptop,3,NetBanking,2
brownheather,12/17/2021,Email,Female,433008,8/14/2021,INACTIVE,NO,12/9/2022,India,Assam,824.5714285714286,7,PC/Laptop,12,Paytm,4
carterroger,11/9/2021,Email,Male,433030,2/25/2021,INACTIVE,YES,11/27/2022,India,Assam,1621.5,18,PC/Laptop,6,NetBanking,3
richard36,11/27/2021,Email,Polygender,432181,11/6/2021,INACTIVE,NO,12/2/2022,India,Bihar,1066.4583333333333,24,PC/Laptop,6,NetBanking,3
aguilarkim,10/12/2005,Email,Female,432293,7/16/2021,ACTIVE,NO,12/22/2022,India,Bihar,1269.611111111111,18,FireTV,12,Paytm,4
brewerpreston,12/17/2021,Email,Female,432650,3/24/2021,INACTIVE,YES,12/14/2022,India,Bihar,1243.2857142857142,7,FireTV,1,Paytm,1
heathertorres,10/24/1992,Email,Female,432814,2/7/2021,ACTIVE,NO,11/18/2022,India,Bihar,1896.25,12,PC/Laptop,3,NetBanking,2
peter84,6/2/1998,Email,Male,432819,1/16/2021,INACTIVE,YES,11/20/2022,India,Bihar,1207.1666666666667,18,Android TV,12,Paytm,4
cfleming,11/9/2021,Email,Female,432908,11/7/2022,ACTIVE,YES,11/21/2022,India,Bihar,1246.05,20,FireTV,6,NetBanking,3
maxwellthomas,7/7/1993,Email,Male,433121,3/27/2022,INACTIVE,YES,11/17/2022,India,Bihar,1461.55,20,PC/Laptop,3,NetBanking,2
jonhubbard,11/5/1986,Email,Female,432187,6/7/2021,INACTIVE,NO,12/8/2022,India,Kerala,1260.5454545454545,22,PC/Laptop,12,Paytm,4
edwardsandrew,1/21/2005,Email,Female,432304,10/26/2021,INACTIVE,YES,11/14/2022,India,Kerala,980.4444444444445,18,FireTV,6,NetBanking,3
hendersonandrea,3/29/1999,Email,Male,432403,6/4/2022,ACTIVE,NO,11/13/2022,India,Kerala,1279.047619047619,21,PC/Laptop,3,NetBanking,2
hahnderrick,5/9/1992,Email,Male,432442,11/24/2022,INACTIVE,YES,12/15/2022,India,Kerala,1035.0434782608695,23,FireTV,3,NetBanking,2
vgomez,9/28/2010,Email,Female,432532,9/1/2022,INACTIVE,NO,12/13/2022,India,Kerala,1061.4444444444443,18,Apple TV,12,Paytm,4
anthonycastaneda,3/13/1998,Email,Female,432821,4/7/2021,INACTIVE,NO,12/9/2022,India,Kerala,799.6666666666666,15,PC/Laptop,1,Paytm,1
elliottrebekah,9/15/2006,Email,Male,432940,10/7/2022,ACTIVE,NO,11/22/2022,India,Kerala,683.5714285714286,14,FireTV,3,NetBanking,2
gabriel83,11/26/2021,Email,Female,432949,4/26/2021,ACTIVE,NO,12/24/2022,India,Kerala,2247.1666666666665,18,FireTV,6,NetBanking,3
kristysilva,9/15/2006,Email,Male,432962,5/16/2022,INACTIVE,YES,12/17/2022,India,Kerala,969.0,13,PC/Laptop,3,NetBanking,2
bsanchez,3/30/1989,Email,Agender,433082,6/22/2022,ACTIVE,YES,11/25/2022,India,Kerala,1702.8823529411766,17,FireTV,3,NetBanking,2
powellmichele,6/5/1992,Email,Genderfluid,433095,11/30/2021,ACTIVE,YES,11/22/2022,India,Kerala,1823.5555555555557,18,Android TV,6,NetBanking,3
leeamber,1/23/2001,Email,Male,432239,4/30/2022,ACTIVE,YES,12/13/2022,India,Odisha,1253.5294117647059,17,Android TV,3,NetBanking,2
karen40,7/19/1997,Email,Male,432557,2/4/2021,INACTIVE,YES,11/18/2022,India,Odisha,1968.7058823529412,17,FireTV,1,Paytm,1
martinezmarie,7/22/1992,Email,Female,432869,8/29/2021,ACTIVE,YES,12/10/2022,India,Odisha,1809.75,16,FireTV,12,Paytm,4
markbruce,9/5/1992,Email,Female,432871,9/16/2021,ACTIVE,NO,12/26/2022,India,Odisha,1346.3636363636363,22,FireTV,12,Paytm,4
rogerswilliam,6/30/1992,Email,Female,432878,4/22/2022,ACTIVE,NO,11/28/2022,India,Odisha,656.7,10,PC/Laptop,12,Paytm,4
xlewis,6/20/1992,Email,Male,432904,4/6/2022,INACTIVE,YES,12/3/2022,India,Odisha,1028.1333333333334,15,PC/Laptop,12,Paytm,4
kathleenhenry,1/11/2006,Email,Male,432959,10/5/2021,ACTIVE,NO,11/23/2022,India,Odisha,1992.0555555555557,18,PC/Laptop,12,Paytm,4
josephjohnson,10/17/1989,Email,Male,432992,6/16/2021,INACTIVE,NO,11/28/2022,India,Odisha,956.6,20,PC/Laptop,3,NetBanking,2
kimberly77,7/19/1989,Email,Female,433053,9/22/2022,INACTIVE,YES,12/21/2022,India,Odisha,889.2727272727273,22,PC/Laptop,12,Paytm,4
jessica41,9/15/1986,Email,Female,432180,2/8/2022,INACTIVE,YES,12/5/2022,India,Punjab,703.2,20,PC/Laptop,3,NetBanking,2
xwilson,3/22/1986,Email,Female,432186,2/21/2021,ACTIVE,NO,12/4/2022,India,Punjab,981.5,16,FireTV,3,NetBanking,2
connerrobert,4/29/2000,Email,Female,432209,7/13/2022,ACTIVE,NO,11/22/2022,India,Punjab,818.5263157894736,19,FireTV,3,NetBanking,2
mbailey,6/5/2000,Email,Agender,432212,10/26/2022,INACTIVE,YES,11/8/2022,India,Punjab,2926.0,16,FireTV,3,NetBanking,2
nparks,7/1/1989,Email,Female,433031,7/12/2021,ACTIVE,YES,12/25/2022,India,Punjab,589.125,24,FireTV,1,Paytm,1
pford,1/21/1992,Email,Male,433100,12/31/2021,ACTIVE,NO,12/1/2022,India,Punjab,1211.3703703703704,27,PC/Laptop,12,Paytm,4
kwilliams,6/8/1992,Email,Male,433104,6/8/2021,INACTIVE,NO,12/6/2022,India,Punjab,1302.6571428571428,35,Android TV,3,NetBanking,2
robert59,7/1/1992,Email,Agender,432362,8/20/2021,INACTIVE,YES,12/11/2022,India,Sikkim,1508.8333333333333,24,Android Phone,1,Paytm,1
wrightrobert,10/18/2015,Email,Non-binary,432493,4/13/2022,INACTIVE,NO,11/11/2022,India,Sikkim,567.9375,16,PC/Laptop,3,NetBanking,2
heather44,4/4/1992,Email,Bigender,432621,8/21/2022,INACTIVE,NO,11/9/2022,India,Sikkim,1431.6190476190477,21,FireTV,3,NetBanking,2
kimanne,2/26/1993,Email,Male,432664,10/16/2021,INACTIVE,NO,12/28/2022,India,Sikkim,1191.1666666666667,12,FireTV,12,Paytm,4
jennifer81,3/10/1992,Email,Male,432847,3/24/2022,INACTIVE,YES,12/22/2022,India,Sikkim,1176.6842105263158,19,iPhone,1,Paytm,1
droach,10/26/1992,Email,Male,432894,3/23/2022,ACTIVE,NO,11/18/2022,India,Sikkim,1852.2,15,PC/Laptop,12,Paytm,4
jmays,10/17/2006,Email,Male,432955,10/20/2022,INACTIVE,YES,12/6/2022,India,Sikkim,1546.2,20,PC/Laptop,12,Paytm,4
donna86,3/13/1989,Email,Female,433022,11/3/2021,INACTIVE,YES,11/11/2022,India,Sikkim,1105.4117647058824,17,FireTV,3,NetBanking,2
dcalhoun,10/22/1986,Email,Male,432182,9/27/2022,ACTIVE,NO,12/14/2022,India,Gujarat,985.1176470588235,17,FireTV,12,Paytm,4
scottkey,10/1/1986,Email,Female,432183,1/10/2022,INACTIVE,YES,12/16/2022,India,Gujarat,1523.3181818181818,22,FireTV,12,Paytm,4
ewu,9/15/2015,Email,Bigender,432451,1/19/2021,ACTIVE,YES,12/1/2022,India,Gujarat,1787.3684210526317,19,FireTV,3,NetBanking,2
cantumichelle,2/13/2002,Email,Female,432725,11/1/2022,ACTIVE,NO,12/6/2022,India,Gujarat,1341.1666666666667,24,FireTV,1,Paytm,1
samantha51,10/11/1998,Email,Male,432815,10/20/2022,ACTIVE,NO,11/28/2022,India,Gujarat,1465.4,20,FireTV,12,Paytm,4
kyleparks,8/3/1998,Email,Female,432816,5/22/2021,ACTIVE,YES,12/17/2022,India,Gujarat,880.4117647058823,17,FireTV,12,Paytm,4
umiller,10/16/2006,Email,Male,432926,3/5/2021,INACTIVE,YES,12/20/2022,India,Gujarat,1013.4705882352941,17,PC/Laptop,3,NetBanking,2
gordonoscar,3/22/2006,Email,Female,432930,6/14/2022,ACTIVE,NO,11/23/2022,India,Gujarat,1591.0555555555557,18,FireTV,3,NetBanking,2
reginaballard,5/12/2006,Email,Polygender,432971,1/13/2021,INACTIVE,NO,12/9/2022,India,Gujarat,1173.2142857142858,14,FireTV,12,Paytm,4
nicole73,7/23/1989,Email,Female,433021,1/31/2022,ACTIVE,YES,12/14/2022,India,Gujarat,879.0,17,PC/Laptop,1,Paytm,1
alithomas,4/4/1989,Email,Male,433059,5/12/2021,ACTIVE,YES,11/14/2022,India,Gujarat,958.2631578947369,19,iPhone,12,Paytm,4
jmeyer,1/30/1989,Email,Male,433074,5/24/2021,ACTIVE,NO,12/2/2022,India,Gujarat,795.7,20,PC/Laptop,12,Paytm,4
jhorn,1/3/1992,Email,Female,432332,1/18/2022,INACTIVE,YES,12/4/2022,India,Haryana,1125.4444444444443,18,PC/Laptop,6,NetBanking,3
brooksnicole,5/13/2015,Email,Female,432511,10/3/2022,ACTIVE,NO,11/15/2022,India,Haryana,1210.4736842105262,19,PC/Laptop,12,Paytm,4
joycebaker,12/1/2021,Email,Female,432560,1/13/2021,INACTIVE,YES,11/21/2022,India,Haryana,1240.576923076923,26,FireTV,3,NetBanking,2
jeffreywatson,8/1/1997,Email,Male,432580,5/5/2021,ACTIVE,YES,12/3/2022,India,Haryana,1348.9565217391305,22,FireTV,1,Paytm,1
petersoncarolyn,6/8/1989,Email,Female,433037,9/15/2022,ACTIVE,YES,11/12/2022,India,Haryana,1417.095238095238,20,FireTV,1,Paytm,1
alexis32,5/27/2010,Email,Male,432544,7/6/2021,INACTIVE,NO,11/24/2022,India,Manipur,1380.7142857142858,14,Android TV,6,NetBanking,3
ashleyking,11/1/2002,Email,Female,432739,10/1/2022,ACTIVE,YES,11/21/2022,India,Manipur,809.3,20,PC/Laptop,12,Paytm,4
umontes,3/19/2002,Email,Male,432749,6/27/2021,INACTIVE,YES,11/24/2022,India,Manipur,1036.1,20,PC/Laptop,12,Paytm,4
zacharypatel,8/6/2002,Email,Male,432793,2/3/2022,ACTIVE,YES,11/13/2022,India,Manipur,1577.7894736842106,19,FireTV,12,Paytm,4
julie59,7/12/1992,Email,Male,432853,5/12/2022,INACTIVE,YES,12/16/2022,India,Manipur,701.1304347826087,23,FireTV,3,NetBanking,2
austinhuff,6/14/2006,Email,Female,432989,1/17/2022,ACTIVE,YES,11/23/2022,India,Manipur,1254.2941176470588,17,FireTV,1,Paytm,1
pthompson,3/25/1989,Email,Male,433016,10/8/2022,ACTIVE,NO,12/28/2022,India,Manipur,1774.5185185185185,27,PC/Laptop,12,Paytm,4
qhobbs,9/29/1999,Email,Male,432382,9/22/2021,ACTIVE,NO,11/28/2022,India,Mizoram,1164.4285714285713,14,Android TV,6,NetBanking,3
latoyaburton,8/4/1999,Email,Female,432386,11/11/2022,ACTIVE,NO,12/20/2022,India,Mizoram,1279.5263157894738,19,Android TV,6,NetBanking,3
hoganlindsay,6/16/1992,Email,Female,432447,6/12/2022,ACTIVE,YES,11/22/2022,India,Mizoram,1364.15,20,PC/Laptop,12,Paytm,4
ryan73,5/13/2002,Email,Non-binary,432736,5/26/2021,INACTIVE,NO,11/21/2022,India,Mizoram,1133.28,25,PC/Laptop,6,NetBanking,3
pattersonjohn,8/26/1992,Email,Female,432891,6/6/2021,INACTIVE,YES,11/11/2022,India,Mizoram,1538.0869565217392,23,FireTV,6,NetBanking,3
zhale,3/27/1992,Email,Genderfluid,432334,12/2/2021,INACTIVE,YES,12/6/2022,India,Tripura,1246.8461538461538,13,PC/Laptop,12,Paytm,4
gatesalbert,2/3/2010,Email,Female,432528,1/10/2022,INACTIVE,NO,11/17/2022,India,Tripura,1671.6666666666667,21,PC/Laptop,12,Paytm,4
ebyrd,10/10/2010,Email,Male,432534,7/23/2022,INACTIVE,NO,12/25/2022,India,Tripura,804.5,18,PC/Laptop,12,Paytm,4
hgarza,4/29/1991,Email,Male,432648,7/3/2022,INACTIVE,NO,11/17/2022,India,Tripura,1024.4615384615386,13,PC/Laptop,3,NetBanking,2
lwalker,2/24/2002,Email,Female,432779,9/7/2021,INACTIVE,NO,12/7/2022,India,Tripura,1258.9473684210527,19,PC/Laptop,12,Paytm,4
sarapowell,9/29/1992,Email,Female,432863,12/2/2021,ACTIVE,NO,12/24/2022,India,Tripura,1890.0,23,FireTV,12,Paytm,4
chad09,10/23/1993,Email,Female,433151,8/26/2021,INACTIVE,NO,11/20/2022,India,Tripura,1323.75,16,PC/Laptop,12,Paytm,4
matthewroberts,9/28/2015,Email,Genderqueer,432468,8/24/2022,INACTIVE,YES,11/23/2022,India,Nagaland,1306.5,18,PC/Laptop,12,Paytm,4
brittany88,9/17/2015,Email,Female,432482,2/11/2022,ACTIVE,NO,11/11/2022,India,Nagaland,1114.65,20,FireTV,12,Paytm,4
